Date,Year,Quarter,POS_Sales_Billion_SAR,ECom_Sales_Billion_SAR,Type
2021-01-01,2021,2021Q1,37.1,9.8,Actual
2021-02-01,2021,2021Q1,37.85,10.16,Actual
2021-03-01,2021,2021Q1,39.61,11.67,Actual
2021-04-01,2021,2021Q2,40.67,12.64,Actual
2021-05-01,2021,2021Q2,37.88,9.9,Actual
2021-06-01,2021,2021Q2,36.8,8.95,Actual
2021-07-01,2021,2021Q3,37.89,10.17,Actual
2021-08-01,2021,2021Q3,36.23,8.57,Actual
2021-09-01,2021,2021Q3,34.76,7.01,Actual
2021-10-01,2021,2021Q4,36.79,8.79,Actual
2021-11-01,2021,2021Q4,37.1,8.71,Actual
2021-12-01,2021,2021Q4,39.01,10.15,Actual
2022-01-01,2022,2022Q1,41.77,12.44,Actual
2022-02-01,2022,2022Q1,40.7,10.98,Actual
2022-03-01,2022,2022Q1,41.75,11.78,Actual
2022-04-01,2022,2022Q2,43.15,13.1,Actual
2022-05-01,2022,2022Q2,41.93,11.92,Actual
2022-06-01,2022,2022Q2,42.44,12.56,Actual
2022-07-01,2022,2022Q3,39.89,10.14,Actual
2022-08-01,2022,2022Q3,38.6,8.9,Actual
2022-09-01,2022,2022Q3,42.07,12.28,Actual
2022-10-01,2022,2022Q4,40.85,10.82,Actual
2022-11-01,2022,2022Q4,42.72,12.3,Actual
2022-12-01,2022,2022Q4,42.84,11.95,Actual
2023-01-01,2023,2023Q1,45.82,14.45,Actual
2023-02-01,2023,2023Q1,48.12,16.37,Actual
2023-03-01,2023,2023Q1,47.42,15.42,Actual
2023-04-01,2023,2023Q2,49.26,17.18,Actual
2023-05-01,2023,2023Q2,47.41,15.37,Actual
2023-06-01,2023,2023Q2,46.7,14.79,Actual
2023-07-01,2023,2023Q3,45.24,13.46,Actual
2023-08-01,2023,2023Q3,47.5,15.78,Actual
2023-09-01,2023,2023Q3,45.28,13.46,Actual
2023-10-01,2023,2023Q4,44.84,12.78,Actual
2023-11-01,2023,2023Q4,48.61,16.16,Actual
2023-12-01,2023,2023Q4,48.07,15.15,Actual
2024-01-01,2024,2024Q1,51.7,18.31,Actual
2024-02-01,2024,2024Q1,50.62,16.83,Actual
2024-03-01,2024,2024Q1,52.19,18.16,Actual
2024-04-01,2024,2024Q2,54.03,19.91,Actual
2024-05-01,2024,2024Q2,54.0,19.93,Actual
2024-06-01,2024,2024Q2,52.24,18.3,Actual
2024-07-01,2024,2024Q3,50.81,17.0,Actual
2024-08-01,2024,2024Q3,49.9,16.14,Actual
2024-09-01,2024,2024Q3,48.5,14.66,Actual
2024-10-01,2024,2024Q4,50.23,16.13,Actual
2024-11-01,2024,2024Q4,52.05,17.57,Actual
2024-12-01,2024,2024Q4,55.79,20.84,Actual
2025-01-01,2025,2025Q1,56.85,21.43,Actual
2025-02-01,2025,2025Q1,55.84,20.02,Actual
2025-03-01,2025,2025Q1,59.16,23.1,Actual
2025-04-01,2025,2025Q2,58.32,22.17,Actual
2025-05-01,2025,2025Q2,57.29,21.19,Actual
2025-06-01,2025,2025Q2,57.75,21.78,Actual
2025-07-01,2025,2025Q3,57.17,21.33,Actual
2025-08-01,2025,2025Q3,56.37,20.58,Actual
2025-09-01,2025,2025Q3,54.25,18.38,Actual
2025-10-01,2025,2025Q4,55.71,19.58,Actual
2025-11-01,2025,2025Q4,57.99,21.47,Actual
2025-12-01,2025,2025Q4,60.68,23.69,Actual
2026-01-01,2026,2026Q1,60.85,23.39,Actual
2026-02-01,2026,2026Q1,62.71,24.87,Actual
2026-03-01,2026,2026Q1,62.43,24.33,Actual
2026-04-01,2026,2026Q2,62.33,24.15,Actual
2026-05-01,2026,2026Q2,64.06,25.93,Actual
2026-06-01,2026,2026Q2,63.63,25.63,Actual
2026-07-01,2026,2026Q3,63.65,25.67,Forecast
2026-08-01,2026,2026Q3,63.64,25.66,Forecast
2026-09-01,2026,2026Q3,63.65,25.66,Forecast
2026-10-01,2026,2026Q4,63.65,25.66,Forecast
2026-11-01,2026,2026Q4,63.65,25.66,Forecast
2026-12-01,2026,2026Q4,63.65,25.66,Forecast
